F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,855,426,293,1574,1407,0.012863279296774305,1028,0,429,0,0.11584224317398573,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,855,426,293,1574,1407,0.012863279296774305,1028,0,429,0,0.11584224317398573,0,2000,0,1138,329,0,3467,862,0.11178114268544616,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,692,479,59,1230,1407,0.012863279296774305,1028,0,213,0,0.14995914919841216,0,1843,0,1275,79,0,3197,568,0.057648274561040415,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,28,1,0,29,1407,0.012863279296774305,1028,0,27,0,0.019672303538300313,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,80,5,5,90,1407,0.012863279296774305,1028,0,75,0,0.08383796375936245,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,24,2,1,27,1407,0.012863279296774305,1028,0,22,0,0.0379428275782508,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,16,8,2,26,1407,0.012863279296774305,1028,0,8,0,0.3081395348837209,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,35,3,4,42,1407,0.012863279296774305,1028,0,32,0,0.16559837608516256,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,529,211,20,760,1407,0.012863279296774305,1028,0,318,0,0.157440422104089,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,254,57,101,412,1407,0.012863279296774305,1028,0,197,0,0.13432687362336443,0,1178,0,310,139,0,1627,868,0.09629793099131043,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,84,109,4,197,1407,0.012863279296774305,1028,0,-25,0,0.047717500332649015,0,448,0,283,8,0,739,165,0.07371258555055964,148423,80439,
116,0.0,0,0,116,116,8396,1197,237258,0.016674819563519648,67984,41,0.07771971512251072,169,55,0,0,55,1407,0.012863279296774305,1028,0,55,0,0.2973330196252111,0,4840,0,2308,153,0,7301,2532,0.09656243820974814,148423,80439,
116,0.0,0,0,116,116,8396,1197,237258,0.016674819563519648,67984,41,0.07771971512251072,169,157,39,0,196,1407,0.012863279296774305,1028,0,118,0,0.06313848895866829,0,4840,0,2308,153,0,7301,2532,0.09656243820974814,148423,80439,
116,0.0,0,0,116,116,8396,1197,237258,0.016674819563519648,67984,41,0.07771971512251072,169,200,112,7,319,1407,0.012863279296774305,1028,0,88,0,0.1304129916339152,0,4840,0,2308,153,0,7301,2532,0.09656243820974814,148423,80439,
116,0.0,0,0,116,116,8396,1197,237258,0.016674819563519648,67984,41,0.07771971512251072,169,5,9,3,17,1407,0.012863279296774305,1028,0,-4,0,0.08687970873521432,0,4840,0,2308,153,0,7301,2532,0.09656243820974814,148423,80439,
